cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2001_poblacion_2001;2001_poblacion_1996;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes_1996-2001;2001_porcentaje_de_inmigrantes_recientes;2001_emigrantes_1996-2001;2001_porcentaje_de_emigrantes_recientes;2001_migracion_neta;2001_migracion_bruta;2001_tasa_de_inmigracion;2001_tasa_de_emigracion;2001_tasa_de_migracion_neta;2001_indice_de_eficacia_migratoria;2012_poblacion_2012;2012_poblacion_2007;2012_no_migrantes;2012_porcentaje_de_no_migrantes_;2012_inmigrantes_2012-2007;2012_porcentaje_de_inmigrantes_recientes;2012_emigrantes_2012-2007;2012_porcentaje_de_emigrantes_recientes;2012_migracion_neta;2012_migracion_bruta;2012_tasa_de_inmigracion;2012_tasa_de_emigracion;2012_tasa_de_migracion_neta;2012_indice_de_eficacia_migratoria;2024_poblacion_2024;2024_poblacion_2019;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes_2024-2019;2024_porcentaje_de_inmigrantes_recientes;2024_emigrantes_2024-2019;2024_porcentaje_de_emigrantes_recientes;2024_migracion_neta;2024_migracion_bruta;2024_tasa_de_inmigracion;2024_tasa_de_emigracion;2024_tasa_de_migracion_neta;2024_indice_de_eficacia_migratoria
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2025;2;País;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2026;3;País;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;43531.00;43959.00;42401.00;7.60;1130.00;7.20;1558.00;9.90;-428.00;2688.00;5.20;7.10;-2.00;-0.20;59964.00;60252.00;58485.00;6.80;1479.00;8.30;1767.00;10.00;-288.00;3246.00;4.90;5.90;-1.00;-0.10;75473.00;75895.00;73046.00;6.20;2427.00;8.50;2849.00;10.00;-422.00;5276.00;6.40;7.50;-1.10;-0.10
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Hombres;19371.00;19589.00;18875.00;7.30;496.00;6.80;714.00;9.80;-218.00;1210.00;5.10;7.30;-2.20;-0.20;26701.00;26795.00;26013.00;6.50;688.00;7.90;782.00;9.00;-94.00;1470.00;5.10;5.80;-0.70;-0.10;34473.00;34587.00;33274.00;6.00;1199.00;8.40;1313.00;9.20;-114.00;2512.00;6.90;7.60;-0.70;0.00
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Mujeres;24160.00;24370.00;23526.00;7.80;634.00;7.60;844.00;10.10;-210.00;1478.00;5.20;7.00;-1.70;-0.10;33263.00;33457.00;32472.00;7.10;791.00;8.70;985.00;10.90;-194.00;1776.00;4.70;5.90;-1.20;-0.10;41000.00;41308.00;39772.00;6.40;1228.00;8.60;1536.00;10.80;-308.00;2764.00;6.00;7.50;-1.50;-0.10
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;16766.00;16346.00;15611.00;2.90;1155.00;4.00;735.00;2.50;420.00;1890.00;14.00;8.90;5.10;0.20;25371.00;25100.00;24028.00;2.90;1343.00;4.20;1072.00;3.30;271.00;2415.00;10.60;8.50;2.10;0.10;33888.00;33654.00;32618.00;2.90;1270.00;2.90;1036.00;2.40;234.00;2306.00;7.50;6.10;1.40;0.10
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Hombres;9671.00;9414.00;9003.00;3.10;668.00;4.50;411.00;2.80;257.00;1079.00;14.00;8.60;5.40;0.20;10782.00;10689.00;10196.00;2.60;586.00;3.60;493.00;3.10;93.00;1079.00;10.90;9.20;1.70;0.10;14628.00;14484.00;14010.00;2.60;618.00;2.80;474.00;2.10;144.00;1092.00;8.50;6.50;2.00;0.10
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Mujeres;7095.00;6932.00;6608.00;2.60;487.00;3.50;324.00;2.30;163.00;811.00;13.90;9.20;4.60;0.20;14589.00;14411.00;13832.00;3.10;757.00;4.80;579.00;3.60;178.00;1336.00;10.40;8.00;2.50;0.10;19260.00;19170.00;18608.00;3.10;652.00;3.10;562.00;2.70;90.00;1214.00;6.80;5.80;0.90;0.10
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;13819.00;13341.00;12688.00;2.30;1131.00;3.70;653.00;2.10;478.00;1784.00;16.70;9.60;7.00;0.30;22066.00;21762.00;20698.00;2.50;1368.00;3.80;1064.00;3.00;304.00;2432.00;12.50;9.70;2.80;0.10;29951.00;29789.00;28807.00;2.60;1144.00;2.60;982.00;2.20;162.00;2126.00;7.70;6.60;1.10;0.10
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 60 O MÁS AÑOS EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2034;11;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Hombres;5727.00;5534.00;5247.00;2.10;480.00;3.20;287.00;1.90;193.00;767.00;17.00;10.20;6.90;0.30;9276.00;9175.00;8680.00;2.20;596.00;3.30;495.00;2.70;101.00;1091.00;12.90;10.70;2.20;0.10;12752.00;12661.00;12202.00;2.30;550.00;2.40;459.00;2.00;91.00;1009.00;8.70;7.20;1.40;0.10
