cuadro;no;nivel;departamento;provincia;municipio_tioc_tioc;sexo;2001_poblacion_2001;2001_poblacion_1996;2001_no_migrantes;2001_porcentaje_de_no_migrantes_;2001_inmigrantes_1996-2001;2001_porcentaje_de_inmigrantes_recientes;2001_emigrantes_1996-2001;2001_porcentaje_de_emigrantes_recientes;2001_migracion_neta;2001_migracion_bruta;2001_tasa_de_inmigracion;2001_tasa_de_emigracion;2001_tasa_de_migracion_neta;2001_indice_de_eficacia_migratoria;2012_poblacion_2012;2012_poblacion_2007;2012_no_migrantes;2012_porcentaje_de_no_migrantes_;2012_inmigrantes_2012-2007;2012_porcentaje_de_inmigrantes_recientes;2012_emigrantes_2012-2007;2012_porcentaje_de_emigrantes_recientes;2012_migracion_neta;2012_migracion_bruta;2012_tasa_de_inmigracion;2012_tasa_de_emigracion;2012_tasa_de_migracion_neta;2012_indice_de_eficacia_migratoria;2024_poblacion_2024;2024_poblacion_2019;2024_no_migrantes;2024_porcentaje_de_no_migrantes_;2024_inmigrantes_2024-2019;2024_porcentaje_de_inmigrantes_recientes;2024_emigrantes_2024-2019;2024_porcentaje_de_emigrantes_recientes;2024_migracion_neta;2024_migracion_bruta;2024_tasa_de_inmigracion;2024_tasa_de_emigracion;2024_tasa_de_migracion_neta;2024_indice_de_eficacia_migratoria
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2024;1;País;;;;Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2025;2;País;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2026;3;País;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;130160.00;133667.00;122949.00;5.90;7211.00;6.20;10718.00;9.20;-3507.00;17929.00;10.90;16.30;-5.30;-0.20;163313.00;167051.00;156242.00;5.30;7071.00;6.50;10809.00;9.90;-3738.00;17880.00;8.60;13.10;-4.50;-0.20;199171.00;203128.00;189249.00;5.00;9922.00;7.10;13879.00;10.00;-3957.00;23801.00;9.90;13.80;-3.90;-0.20
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Hombres;61843.00;63644.00;57961.00;5.70;3882.00;6.10;5683.00;8.90;-1801.00;9565.00;12.40;18.10;-5.70;-0.20;78755.00;80721.00;74938.00;5.20;3817.00;6.30;5783.00;9.60;-1966.00;9600.00;9.60;14.50;-4.90;-0.20;97297.00;99503.00;92186.00;4.90;5111.00;6.80;7317.00;9.70;-2206.00;12428.00;10.40;14.90;-4.50;-0.20
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Mujeres;68317.00;70023.00;64988.00;6.10;3329.00;6.30;5035.00;9.50;-1706.00;8364.00;9.60;14.60;-4.90;-0.20;84558.00;86330.00;81304.00;5.40;3254.00;6.70;5026.00;10.30;-1772.00;8280.00;7.60;11.80;-4.10;-0.20;101874.00;103625.00;97063.00;5.10;4811.00;7.50;6562.00;10.30;-1751.00;11373.00;9.40;12.80;-3.40;-0.20
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;58373.00;58496.00;51992.00;2.60;6381.00;3.20;6504.00;3.30;-123.00;12885.00;21.80;22.30;-0.40;0.00;81118.00;83199.00;75296.00;2.60;5822.00;3.10;7903.00;4.20;-2081.00;13725.00;14.20;19.20;-5.10;-0.20;104990.00;107459.00;99928.00;2.80;5062.00;2.20;7531.00;3.30;-2469.00;12593.00;9.50;14.20;-4.60;-0.20
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Hombres;31513.00;31301.00;28315.00;2.70;3198.00;3.60;2986.00;3.40;212.00;6184.00;20.40;19.00;1.40;0.00;37712.00;39030.00;34800.00;2.50;2912.00;2.80;4230.00;4.10;-1318.00;7142.00;15.20;22.00;-6.90;-0.20;49095.00;50550.00;46586.00;2.60;2509.00;2.00;3964.00;3.20;-1455.00;6473.00;10.10;15.90;-5.80;-0.20
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Mujeres;26860.00;27195.00;23677.00;2.50;3183.00;2.90;3518.00;3.20;-335.00;6701.00;23.60;26.00;-2.50;0.00;43406.00;44169.00;40496.00;2.80;2910.00;3.50;3673.00;4.40;-763.00;6583.00;13.30;16.80;-3.50;-0.10;55895.00;56909.00;53342.00;2.90;2553.00;2.50;3567.00;3.40;-1014.00;6120.00;9.10;12.60;-3.60;-0.20
Bolivia: INDICADORES DE MIGRACIÓN INTERNA RECIENTE EN EL INTERVALO DE 30 A 59 AÑOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO/TIOC O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y SEXO, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;51126.00;51163.00;45111.00;2.30;6015.00;2.90;6052.00;2.90;-37.00;12067.00;23.50;23.70;-0.10;0.00;73761.00;75659.00;67863.00;2.40;5898.00;2.80;7796.00;3.80;-1898.00;13694.00;15.80;20.90;-5.10;-0.10;97729.00;100005.00;93192.00;2.60;4537.00;1.90;6813.00;2.90;-2276.00;11350.00;9.20;13.80;-4.60;-0.20
