cuadro;no;nivel;departamento;provincia;municipio_tioc;area;numero_de_personas_2001_total;numero_de_personas_2001_tiene;numero_de_personas_2001_no_tiene;numero_de_personas_2001_total;numero_de_personas_2001_tiene;numero_de_personas_2001_no_tiene;numero_de_personas_2001_total;numero_de_personas_2001_tiene;numero_de_personas_2001_no_tiene
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2024 ;1;País;;;;Bolivia;8,090,732;3,350,005;4,740,727;9,827,089;5,179,291;4,647,798;11,134,130;7,083,724;4,050,406
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2025;2;País;;;;Urbana;5,046,158;2,298,105;2,748,053;6,632,775;3,887,586;2,745,189;7,673,112;5,146,187;2,526,925
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2026;3;País;;;;Rural;3,044,574;1,051,900;1,992,674;3,194,314;1,291,705;1,902,609;3,461,018;1,937,537;1,523,481
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2027;4;Departamento;Chuquisaca;;;Chuquisaca;517,211;216,256;300,955;565,214;299,398;265,816;592,741;401,331;191,410
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2028;5;Departamento;Chuquisaca;;;Urbana;208,286;154,460;53,826;273,313;225,519;47,794;326,910;283,876;43,034
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2029;6;Departamento;Chuquisaca;;;Rural;308,925;61,796;247,129;291,901;73,879;218,022;265,831;117,455;148,376
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2030;7;Provincia;Chuquisaca;Oropeza;;Oropeza;231,990;148,801;83,189;279,678;206,745;72,933;312,402;257,268;55,134
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2031;8;Provincia;Chuquisaca;Oropeza;;Urbana;185,221;141,314;43,907;232,014;195,037;36,977;269,301;238,741;30,560
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2032;9;Provincia;Chuquisaca;Oropeza;;Rural;46,769;7,487;39,282;47,664;11,708;35,956;43,101;18,527;24,574
BOLIVIA: POBLACIÓN CON ACCESO A SANEAMIENTO MEJORADO, SEGÚN DEPARTAMENTO, PROVINCIA, MUNICIPIO O TERRITORIO INDÍGENA ORIGINARIO CAMPESINO (TIOC) Y ÁREA, CENSOS 2001, 2012 Y 2033;10;Municipio/TIOC;Chuquisaca;Oropeza;Sucre;Sucre;205,945;144,674;61,271;254,279;200,519;53,760;289,815;248,278;41,537
